Address,NERD Amount
0x007F2A96Cbdf08BF1a58f1de3599cb67571A40Ac,0.3459
0x00838C2cd0384BF95108e93F97959f897149B154,34.2034
0x00fC558F38AC9b814C17671c7EaA1599f40401CC,0.0097
0x02E67cad0E29FF8a5FB7abD28c219373cd787535,26.9720
0x041D8Fb41141D0a4cAcA8b32E483f6E96c0C0BC6,7.0844
0x04783f02623e6D8Eb53E1eB20Ec8531F04f822C3,12.5779
0x047E6955A24C9017A48ba5eecA674b51fFc8e191,4.8528
0x05a2C36A14Ab81a83aC2453c31F625D8421771A9,3.5914
0x0831344188d04d1610Be3E260cCbc35c2AfC42B4,3.8667
0x096A9850e00c1d6fD767514735225935E173120e,3.8800
0x09AF33D3Fcc44dEe8305A4bA71A84E9f80a8cfA3,0.1499
0x0BD31bE7Fd5a51Ed7994e08619A97Bb8f803791E,0.3538
0x0Bd6208C2f2BEaB506FC0A0a03Dff0Fa1d8fEc01,0.3944
0x0D0E234F3c2A0C34752a1DD0829fd3099E9c5731,0.7626
0x0eBdf6613A0a4C3aBb5E9E7260c32AA07d66D1a1,0.4108
0x113F351453fc8547e435fa71aeCC8A1c70F6A24A,1.4937
0x129e81dad8cfaeecee130309b39b5f22215062ed,1.0670
0x13355fD287aEf8E5cea8D70dFF4e9686227E65d8,26.8894
0x16C8eA495762c8d5e85a4a70Fb1d5E180972C107,0.0177
0x16F7EC1Ed2066F09f0821850dC3Aa35f3ff1b67f,3.3490
0x174d2d4c24f1a0eFBa22e18D8e8380Ca2b7c2175,0.9200
0x1916f10eC537863f0aE4C2aC713e168Fafa65295,7.8179
0x1930672beF460512be33560849e3deAaa453CaDD,33.5083
0x1AAFe866d313e5078a12745dF06b7b7988662ff8,106.7000
0x1B2B154B94393F8F546b5a6a97bC9ec596e2A093,2.0000
0x1DD6b93100c8d616b99d50664F1b21c6458AA8d9,2.8800
0x1c6F4dfc666da461a42e9b5D890C1d1ec5c6Ba16,0.0016
0x20B9be08A5fd0a921B1577bD826C5f1127a8003F,1.2610
0x218DfF3cD29502f48A8d9782579a4B6CaF109750,1.9605
0x22A6eEE2c4Db9957e18A5ee4736b92702e4311fc,28.4921
0x22eFD754b4AE9a57771B00950e2c5B50E12bB5c8,0.0344
0x238a2412e078d315ee75287C1951A5a4D9D1A0ed,12.9010
0x23bd18f6375b55AbB41c9153814cF4560484bCDc,0.9468
0x248b190452b88DeBb10345710741067457D60c66,10.9659
0x25681370d5a59aA93DC67D9Dc6fBD6634A171B89,0.5416
0x294803520A1E7B671C105C8a3D94836f40B2b557,2.0000
0x2CcD572a150e61cb211d735076A87D9A4Ea7FB65,1.5838
0x2Da6B3fFfE9B9944831c5d0623aE45c08edae51c,5.6100
0x2E26b736c068486f9C64212FCD6595F22D3E074F,2.6393
0x2aE3a394D34e2912D9A5a9babD5Ba0Ed5Aab819E,11.1298
0x2b3182da8b7A1A8E5F728450B85EB063d0609C44,0.0637
0x2bF4C5804B9290774889572bF76e31B223b73Cf3,4.5595
0x2bd15640b09d148763c6b5eb84df2cd1b7a137e1,5.2973
0x2cc96F1a3e55882DE61B965b668AE3A5326f4CE0,0.2227
0x2fD3C988B789B5E2f3C718020013e4BF51CF49Ad,3.5743
0x2fd3c988b789b5e2f3c718020013e4bf51cf49ad,3.5743
0x323f65EE05616B15d5FC5339ccf1d354ef2C39f3,20.3504
0x32dc9a4c8b84eeD19E2242CD73DbffEDf498ff46,0.2871
0x330C5981b13cEd5186C8Cc369C2f84391d190364,0.0515
0x34111B0Acf243835254E721ee01f593fF6dFDa41,6.0526
0x35e95D5e0b5ECA6124584cCc10604d8722767080,6.8814
0x364BE9f2fe47149561c9e6d035E5B39B28A447bD,0.0557
0x3863249D0a080ae47Ee57B080B7799ea7127fC27,0.1466
0x390887a75717A6842949548c98d08ba4A06A8045,0.0084
0x3CAAC0D4e188bc0686D8AcBe658Ee4e12f856D96,1.0000
0x3fCCc9138e42be388Da2146FBD76FA610bA25b80,0.0360
0x410Ef4DF49583dAeec7A3CB09f85C2A9Ee658AFd,4.0197
0x42aB133871fA8b4AF29efC4D1daAdC14818df661,0.0044
0x446100902e26f64797c2EEb627CC514887fe254b,0.9741
0x447d7F4ff51aA024176aDe59913193EA25c17092,1.3299
0x450C8a41918144C2F9D7131d0b9d91a9FdB06751,0.0166
0x45358BFC9a1F52b6623fD299a214CDd88244cAb8,0.9700
0x45fF1b71A431Fb06B2BF2555b8641910cA35bcd2,7.7059
0x47E1f80c98e2DB6Ae6319CEE060dB025Fb87ebB7,4.9989
0x48b576c87e788a762D6f95A456f2A39113b46950,20.6750
0x4AcE99aC4771dDE4B912F91Fec027e52375E3638,0.0095
0x4E94b3c292a250d4149E9bB0b6681c6261468581,10.3117
0x4F262395cDEAd58c12f97dAAF1B44b1D0215d1C5,0.4551
0x4a58167C719339754fDBD12108699DaF8Bd43Ed5,4.9126
0x4b2d70FFF5882D81b73f1Ec49D4C833a8DFbE56C,5.8844
0x4cFd716E8Bc5Fcb7919a656e051232e41B820e0E,1.9400
0x4eea20757B722bdc827BcA5C85d2C7cb4D2B848E,0.0186
0x5126CEDeD17250E3b59a2Eb3497CF9CAFDC42391,0.1278
0x5357af1CDEbb4B07EC2396938CdadDA1e3C991a8,1.6218
0x5431F732A9E89A0210D12eB850B803974E039C5c,1.9700
0x55a6901F49cD5b152e4f2A1Df72F92f33BEC0B09,10.0000
