Address,NERD Amount
0x001c90AF8e915b431289eAC01F1235FD4eB495E4,3.4470
0x007F2A96Cbdf08BF1a58f1de3599cb67571A40Ac,51.0195
0x00838C2cd0384BF95108e93F97959f897149B154,102.1343
0x00fC558F38AC9b814C17671c7EaA1599f40401CC,107.2626
0x02E67cad0E29FF8a5FB7abD28c219373cd787535,50.4904
0x03a83b8F6fDba66BF9618FA7a9d99F2706777C3c,1.9389
0x041D8Fb41141D0a4cAcA8b32E483f6E96c0C0BC6,15.8339
0x04783f02623e6D8Eb53E1eB20Ec8531F04f822C3,109.2382
0x0538f6eC361a1bD29aa62D5863Aac5A9E389c4c5,0.9409
0x05a50a7efCbA11c35daFb998989504F8d85D1533,2.5478
0x0756555b94C2d646C730D814c9911F761d4f170D,6.7954
0x08bb7B7F7CbE2b06A0251e5954af2204862A02aE,5.9458
0x09759c0Ccc5e9518C33B237B97177d8Bd86DD931,4.9270
0x0B68BC75d39195D91A1Ad7ab9FfE630242c6da64,176.8156
0x0C666a64Cc6C25EF2aB7d11122fEb58fA88F6549,2.8227
0x0D0E234F3c2A0C34752a1DD0829fd3099E9c5731,0.6208
0x0dc3932F037b2B57C544400a9310d0723b4d8e85,10.8564
0x0e4B909C1C96bC620E896be16B35c4e2F2b978A3,0.4462
0x0eBdf6613A0a4C3aBb5E9E7260c32AA07d66D1a1,7.2625
0x106B8f93CBfB97608E573993DE46868d1E512512,3.8809
0x16C8eA495762c8d5e85a4a70Fb1d5E180972C107,109.1444
0x16F7EC1Ed2066F09f0821850dC3Aa35f3ff1b67f,10.6725
0x174d2d4c24f1a0eFBa22e18D8e8380Ca2b7c2175,2.9550
0x1930672beF460512be33560849e3deAaa453CaDD,107.2729
0x1B2B154B94393F8F546b5a6a97bC9ec596e2A093,0.9700
0x1Bfc365ea8eBcE2aF3f936EEd8274e58c3F39dd6,5.8200
0x1DD6b93100c8d616b99d50664F1b21c6458AA8d9,0.9700
0x1bbB1829bAE32f668e772eb31946632D4533074D,2.3517
0x1c6F4dfc666da461a42e9b5D890C1d1ec5c6Ba16,12.2123
0x1ce19ef598a81a74DE4204d1fB28119106d5b157,0.9973
0x218DfF3cD29502f48A8d9782579a4B6CaF109750,15.7452
0x21d013Add5421A02579254219Df0443e946aca97,4.7045
0x238a2412e078d315ee75287C1951A5a4D9D1A0ed,11.1243
0x252d95EDd1fA68bCDCa548Df93A2738294357188,0.8548
0x27A1c64A826419F8c255375729CEFAF072357DF2,4.9468
0x2Debdf4427CcBcfDbC7f29D63964499a0ec184F6,123.1549
0x2E26b736c068486f9C64212FCD6595F22D3E074F,4.8500
0x2dDfD9fcD848A5182C8F4798816F61473C888FC9,12.4618
0x302805300c24AE9D1536C30Aa9DD8153f136C722,11.4363
0x30791EFc19AbA96A752a8A0DA3156d51e1dbe342,2.1231
0x319d116c3074aE7dA02Fa6ee50Ce453fe69d7B58,1.0672
0x32dc9a4c8b84eeD19E2242CD73DbffEDf498ff46,1.1659
0x330C5981b13cEd5186C8Cc369C2f84391d190364,10.0347
0x332f14b54E0914a71c7A7326C8b12f9769312e24,14.0465
0x3497c8389251046fE54FBaEF179e17e656723ab3,3.6007
0x35652eACe2211551e30669f836E71547c1236916,3.7714
0x3597FE5f85ef4c23c94B8A53Dd94C8106B90bfDd,2.5795
0x35e95D5e0b5ECA6124584cCc10604d8722767080,2.8917
0x364BE9f2fe47149561c9e6d035E5B39B28A447bD,103.5911
0x38f6077AA62F63D5a783376D0B64048da6fB1d3E,6.4844
0x390887a75717A6842949548c98d08ba4A06A8045,5.6910
0x39983c280c4bC6C3801D3317F817Bb4CbB562927,0.9702
0x3b9DeC54f9829a07688f5602E554CB14fAb03c87,102.5581
0x3e483Ac9091c2f4430a87123edEc5417EdFdC066,148.7350
0x410Ef4DF49583dAeec7A3CB09f85C2A9Ee658AFd,1.1977
0x42aB133871fA8b4AF29efC4D1daAdC14818df661,6.8181
0x42eb4c8C1003C8920b54EE62fE0F8013F43855C6,3.0278
0x435221654f5EE519CA100F331176563630aB1cfE,3.3431
0x43fFCdaaA502CD869B40d7A9fA3B2297EEa9B405,1.6028
0x446100902e26f64797c2EEb627CC514887fe254b,2.8907
0x450C8a41918144C2F9D7131d0b9d91a9FdB06751,2.5770
0x463044920293c9b21d502578a0bdEa049b777322,18.4300
0x48D0d49c06d18e11D74569A6Fa15CB1791121A1b,0.3342
0x48b576c87e788a762D6f95A456f2A39113b46950,43.6500
0x4AcE99aC4771dDE4B912F91Fec027e52375E3638,5.2186
0x4E1b9ac4EC5D547cAaD95E0C8BE83D7f5354BaCB,8.0623
0x4F262395cDEAd58c12f97dAAF1B44b1D0215d1C5,10.8495
0x4b2d70FFF5882D81b73f1Ec49D4C833a8DFbE56C,6.4699
0x4c4180bF5eC78AF9025bDD935ed69E29c2F6CbAE,2.4420
0x4eea20757B722bdc827BcA5C85d2C7cb4D2B848E,25.3249
0x5126CEDeD17250E3b59a2Eb3497CF9CAFDC42391,21.6388
0x51Ae1496C35A99e1d67601A49000fE7bf9d9D609,0.9700
0x51cC731514C87def781A163f8E48Ed4F81d36D4b,108.2035
0x5357af1CDEbb4B07EC2396938CdadDA1e3C991a8,4.9250
0x55a6901F49cD5b152e4f2A1Df72F92f33BEC0B09,4.8698
0x55b4Dc1873B2B2d54e75faBcde78160A37498A06,9.5545
0x5691396FBad14F1663Ca2EFeFb95796ECC6848E2,19.5758
0x569c8f72Cf4A896ff0423444284dCbc5C3B5f1B7,102.8200
0x5968E44c7C2BDcce1834e91497Bd68C1a2DFD821,12.6100
0x598935b8C417cD701D452aa568A3c076D640c9AC,25.2596
0x5BD275FDdFdF77AF9FE4f28F44B253468d065DAc,9.6413
0x5DaB3705f235f9D8423180C6Fd6C55a6F56FeEe5,0.3312
0x62434ddb02f846cbd5BE19D535cf2542Fd92d549,100.8800
0x62C4eE3905aCB37106dfA2175226afFa6DDf3032,114.5921
0x633C2EcE13b33502d6CfB8d054821625600c7bC6,1.4647
0x633FFa2b4E2531A3D1952543d858539fBbCa6c10,3.1050
0x6373C0181F6dc83f6705466570cb10c06826246A,10.6711
0x63870408bD3177B235e260f5bf404B5A0C109D8f,11.5548
0x63Bf30057F7D0A4377b609DA2dA30ecf2b1b1C20,0.1925
0x64a9EB1B7B8601ED4bBc5F68934469ffDa7ef543,295.5000
0x66e0eaaa8c977fc26b6c62d3917a74d5257e616f,11.2851
0x68A85184bF76efdd202D904e6Ebf3845689516cA,25.3846
0x6A8D2a9C4f7AFcE18d0D6cFe7Ff2049C0B054762,21.3400
0x6Ab0C171018c0A5dBBC408B0bbf5b233AE406ca4,0.9700
0x6C489C95693eD6Dcf47B701CC6F0b756F4fE0993,10.5545
0x6CF531479DEAE1EA261DDAB2E739C253F7D4916B,14.8307
0x6D7b1E0Cc1e6BCcB1C2d0d8920dB1f1FE25a6270,2.9550
0x6E39FF733D0c5561650384aaFE771B77cF73789F,1.2788
0x6E605C05dB60E12380009F857ADb0C1A88AbeAdD,0.0970
0x6F13FC8C3bAEF55408b0aAABBb87400b4cFB7c64,4.8483
0x6a5Bc8E13Dfe0eB20ffD29843dB22d44abfC4168,103.4990
0x6d7f80EC597b1F729CAe46525500FF56Aa6Be777,3.5894
0x6e969cB609E0F188Ad30F3F946f4Fe9Fd210226C,200.8912
0x72E9F58607055f44B37373424E543C380a55a2D3,80.1581
